timestamp,pair,side,volume,price_eur,cost_eur,fee_eur,total_eur,mode,strategy,signal_reason,balance_after
2026-04-03T08:23:07.192395,SUI/EUR,buy,26.66666667,0.75,20.0240,0.0521,20.0761,paper,dca,DCA regular buy,936.09
2026-04-03T08:23:17.830266,BTC/EUR,buy,0.00034615,57777.90,19.9998,0.0520,20.0518,paper,dca,DCA regular buy,916.04
2026-04-03T08:24:10.037181,CRV/EUR,buy,763.36843165,0.18,140.2308,0.3646,140.5954,paper,grid,Grid buy at 0.18 + dropped 0.00,775.45
2026-04-03T08:30:34.781318,ADA/EUR,buy,553.89052647,0.21,116.8720,0.3039,117.1759,paper,grid,Grid buy at 0.21 + dropped 0.00,658.27
2026-04-03T08:43:38.563787,BTC/EUR,buy,0.00034567,57859.00,20.0001,0.0520,20.0521,paper,dca,DCA regular buy,979.95
2026-04-03T08:44:25.373139,ALGO/EUR,buy,4454.30854162,0.11,469.0387,1.2195,470.2582,paper,momentum,Breakout new high + volume spike,509.69
2026-04-03T08:48:57.497647,SUI/EUR,buy,335.32216390,0.76,253.5706,0.6593,254.2299,paper,momentum,Breakout new high + volume spike,255.46
2026-04-03T08:49:02.264632,BNB/EUR,buy,0.03934994,508.39,20.0051,0.0520,20.0571,paper,dca,DCA regular buy,235.40
2026-04-03T08:52:30.183847,CTSI/EUR,buy,882.75995955,0.04,31.0908,0.0808,31.1716,paper,grid,Grid buy at 0.04 + dropped 0.00,204.23
2026-04-03T08:55:23.111224,AVAX/EUR,buy,13.21028551,7.73,102.1155,0.2655,102.3810,paper,momentum,Breakout new high + volume spike,101.85
2026-04-03T09:13:20.074144,AAVE/EUR,buy,0.24245363,82.53,20.0097,0.0520,20.0617,paper,dca,DCA regular buy,81.79
2026-04-03T09:44:04.998005,WIF/EUR,buy,255.58838562,0.16,40.7919,0.1061,40.8980,paper,momentum,Breakout new high + volume spike,40.89
2026-04-03T09:49:47.588432,ADA/EUR,buy,29.20737007,0.21,6.1683,0.0160,6.1843,paper,grid,Grid buy at 0.21 + dropped 0.00,34.71
2026-04-03T11:29:07.864497,LINK/EUR,short,1.38270821,7.52,10.4041,0.0271,10.3771,paper,momentum,EMA cross down + MACD neg + bearish,32.60
2026-04-03T14:11:12.414774,CRV/EUR,short,54.33015992,0.18,10.0239,0.0261,9.9979,paper,momentum,EMA cross down + MACD neg + bearish,30.57
2026-04-03T16:01:15.213389,CTSI/EUR,sell,882.75995955,0.04,39.2652,0.1021,39.1631,paper,grid,take_profit,69.73
2026-04-03T19:46:16.819158,SEI/EUR,buy,209.19097335,0.05,9.9659,0.0259,9.9918,paper,grid,Grid buy at 0.05 + dropped 0.00,59.74
2026-04-03T19:50:35.448215,BCH/EUR,buy,0.04670602,383.78,17.9248,0.0466,17.9714,paper,momentum,EMA cross up + MACD pos,41.77
2026-04-04T22:48:35.053043,ALGO/EUR,buy,300.00000000,0.10,31.0020,0.0806,31.0826,paper,dca,DCA extra buy (RSI 39 low),968.92
2026-04-04T22:48:37.307479,BCH/EUR,buy,0.07829014,384.10,30.0712,0.0782,30.1494,paper,dca,DCA extra buy (RSI 39 low),938.77
2026-04-04T22:48:39.547348,BTC/EUR,buy,0.00034227,58428.50,19.9983,0.0520,20.0503,paper,dca,DCA regular buy,918.72
2026-04-04T23:37:38.014439,DOGE/EUR,buy,3445.19118173,0.08,276.0043,0.7176,276.7219,paper,momentum,EMA cross up + MACD neg,642.00
2026-04-05T03:14:15.188467,WIF/EUR,buy,601.87104447,0.16,94.7947,0.2465,95.0412,paper,grid,Grid buy at 0.16 + dropped 0.00,546.95
2026-04-05T03:15:03.299330,ADA/EUR,short,745.84721601,0.21,160.2930,0.4168,159.8762,paper,momentum,EMA cross down + MACD neg + bearish,514.48
2026-04-05T05:42:45.484552,SUI/EUR,short,342.98617436,0.75,257.3082,0.6690,256.6392,paper,momentum,Breakdown new low + volume spike,462.35
2026-04-05T07:49:22.969161,BNB/EUR,buy,0.26895328,515.38,138.6131,0.3604,138.9735,paper,momentum,EMA cross up + MACD pos,323.38
2026-04-05T18:59:04.767354,ATOM/EUR,short,111.50864791,1.45,161.8660,0.4209,161.4451,paper,momentum,Breakdown new low + volume spike,290.58
2026-04-05T18:59:06.968390,AAVE/EUR,buy,1.10013012,79.25,87.1853,0.2267,87.4120,paper,momentum,RSI 41 low + EMA bullish + MACD pos,203.17
2026-04-05T18:59:11.615161,AVAX/EUR,buy,3.97331896,7.68,30.5151,0.0793,30.5944,paper,grid,Grid buy at 7.67 + dropped 0.03,172.57
2026-04-06T00:44:59.781312,LINK/EUR,buy,11.47437594,7.53,86.3734,0.2246,86.5979,paper,momentum,Breakout new high + volume spike,85.98
2026-04-06T02:54:25.571881,AVAX/EUR,sell,3.97331896,8.15,32.3825,0.0842,32.2984,paper,grid,take_profit,118.28
2026-04-07T10:34:07.300044,AAVE/EUR,buy,0.37707391,79.50,29.9774,0.0779,30.0553,paper,dca,DCA extra buy (RSI 35 low),969.94
2026-04-07T10:34:54.179463,AAVE/EUR,buy,0.37707391,79.49,29.9736,0.0779,30.0515,paper,dca,DCA extra buy (RSI 35 low),969.95
2026-04-07T10:34:56.411509,ATOM/EUR,buy,27.39726027,1.45,39.8192,0.1035,39.9227,paper,dca,DCA heavy buy (RSI 27 oversold),930.03
2026-04-07T10:34:59.802547,ADA/EUR,buy,142.85714286,0.21,30.1600,0.0784,30.2384,paper,dca,DCA extra buy (RSI 40 low),899.79
2026-04-07T10:35:06.823435,BTC/EUR,buy,0.00453428,59542.00,269.9801,0.7019,270.6820,paper,momentum,EMA cross up + MACD pos,629.11
2026-04-07T10:45:08.773801,BOB/EUR,buy,18873.15874684,0.01,120.4108,0.3131,120.7238,paper,momentum,EMA cross up + MACD pos,508.38
2026-04-07T10:46:13.702044,BCH/EUR,buy,0.40740047,374.47,152.5593,0.3967,152.9559,paper,momentum,EMA cross up + MACD pos,355.43
2026-04-07T10:53:37.450074,BREV/EUR,buy,1066.27668821,0.10,106.6277,0.2772,106.9049,paper,momentum,EMA cross up + MACD pos,248.52
2026-04-07T10:58:08.239086,AVNT/EUR,buy,310.65082747,0.12,35.8367,0.0932,35.9299,paper,grid,Grid buy at 0.12 + dropped 0.00,212.59
2026-04-07T10:59:12.490878,BNB/EUR,buy,0.20419434,520.56,106.2954,0.2764,106.5718,paper,momentum,Breakout new high + volume spike,106.02
2026-04-07T10:59:15.908543,ALGO/EUR,buy,159.02855020,0.10,15.7072,0.0408,15.7481,paper,grid,Grid buy at 0.10 + dropped 0.00,90.27
2026-04-07T11:06:30.628406,ATOM/EUR,buy,27.58620690,1.46,40.1462,0.1044,40.2506,paper,dca,DCA heavy buy (RSI 23 oversold),959.75
2026-04-07T11:06:33.997102,AAVE/EUR,buy,0.37731103,79.48,29.9887,0.0780,30.0667,paper,dca,DCA extra buy (RSI 36 low),929.68
